,Family Size,Living with parents?,Mother Edu,Father Edu,Parent Income,Commute time,Avg study time,Educational support,Extra-curricular,Higher studies,Internet at home?,Tuition count,Health,Avg leaves,Performance,Self Awareness,Self Regulation,Motivation,Empathy,Social Skills,Extroverted,Intuitive,Thinking,Perceiving,IX,X,XI,XII,Female,Male,Other means of travel,Travel by Bus,Travel by auto-rikshaw,Travel by car,Travel by walk
73,0.4,1,0.8,0.6,0.6,0.8,0.4,1,0.2,1,1,0.2,0.4,0.4,81.33333333333333,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.0625,-0.25,0.1875,0.0,1,0,0,0,0,1,0,0,1,0,0
74,0.4,1,0.0,0.6,0.6,0.8,0.4,1,0.2,0,1,0.8,0.6,0.8,62.66666666666666,0.3333333333333333,0.4,0.6,0.5333333333333333,0.4666666666666667,0.0,0.0,0.0,0.375,1,0,0,0,0,1,0,0,1,0,0
75,0.3,1,0.2,0.2,0.4,0.4,0.4,1,0.2,1,1,0.8,0.6,0.8,22.0,0.4,0.8666666666666667,0.5333333333333333,0.7333333333333333,0.6,0.25,-0.375,-0.1875,0.6875,1,0,0,0,0,1,1,0,0,0,0
76,0.4,1,0.2,0.2,0.4,0.4,0.4,1,0.2,1,1,0.6,0.4,0.6,46.66666666666666,0.26666666666666666,0.7333333333333333,0.8,0.4,0.4,0.0,0.0,0.0,0.375,1,0,0,0,0,1,0,0,1,0,0
77,0.4,1,0.6,0.8,0.4,0.6,0.4,1,0.2,1,1,0.6,0.8,0.4,68.66666666666667,0.4,0.8666666666666667,0.5333333333333333,0.7333333333333333,0.6,0.25,-0.375,-0.1875,0.75,1,0,0,0,0,1,1,0,0,0,0
79,0.4,0,0.0,0.8,0.4,0.6,0.4,-1,0.2,1,1,1.0,0.2,0.4,42.0,0.4666666666666667,0.8,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.125,-0.1875,-0.1875,0.0625,1,0,0,0,0,1,1,0,0,0,0
80,0.5,1,0.4,0.4,0.4,0.8,0.4,1,0.2,1,1,1.0,0.2,0.4,36.66666666666666,0.4,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.125,-0.375,0.1875,0.125,1,0,0,0,0,1,0,0,1,0,0
82,0.4,1,0.6,0.4,0.2,0.6,0.4,1,0.2,-1,1,0.6,0.4,0.6,56.66666666666666,0.4,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0625,-0.375,0.0625,0.0625,1,0,0,0,0,1,0,1,0,0,0
83,0.4,1,0.4,0.6,0.2,0.6,0.4,1,0.2,-1,1,0.6,0.4,0.6,51.33333333333334,0.4,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.6,0.1875,0.0625,-0.1875,0.1875,1,0,0,0,0,1,0,1,0,0,0
84,0.5,1,0.2,0.2,1.0,0.6,0.4,1,0.2,1,1,0.8,0.4,0.4,23.33333333333333,0.4666666666666667,0.5333333333333333,0.8,0.5333333333333333,0.6666666666666666,0.0,0.375,-0.125,0.5,1,0,0,0,0,1,0,0,1,0,0
85,0.5,1,0.0,0.6,0.8,0.6,0.4,1,0.2,1,1,0.8,0.6,0.4,54.0,0.4,0.6,0.7333333333333333,0.4,0.6,0.375,0.0625,-0.0625,-0.0625,1,0,0,0,0,1,0,0,1,0,0
86,0.5,1,0.0,0.8,1.0,0.8,0.4,-1,0.6,1,1,0.8,0.4,0.4,59.33333333333334,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.0625,-0.1875,-0.3125,0.125,1,0,0,0,0,1,0,0,1,0,0
87,0.4,1,0.4,0.6,0.4,0.6,0.4,1,0.2,1,1,0.6,0.6,0.6,59.33333333333334,0.6,0.6,0.8666666666666667,0.5333333333333333,0.5333333333333333,-0.125,-0.3125,-0.6875,0.25,1,0,0,0,0,1,0,1,0,0,0
88,0.3,0,0.2,0.8,0.2,0.6,0.4,1,0.2,1,1,1.0,0.8,0.2,77.33333333333333,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.6,0.6,0.1875,-0.1875,0.25,0.1875,1,0,0,0,0,1,0,0,0,0,1
89,0.4,1,0.0,0.2,0.2,0.8,0.4,-1,0.6,1,1,0.2,0.6,0.2,61.33333333333334,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.1875,0.0,-0.25,0.1875,1,0,0,0,0,1,0,1,0,0,0
