,Family Size,Living with parents?,Mother Edu,Father Edu,Parent Income,Commute time,Avg study time,Educational support,Extra-curricular,Higher studies,Internet at home?,Tuition count,Health,Avg leaves,Performance,Self Awareness,Self Regulation,Motivation,Empathy,Social Skills,Extroverted,Intuitive,Thinking,Perceiving,IX,X,XI,XII,Female,Male,Other means of travel,Travel by Bus,Travel by auto-rikshaw,Travel by car,Travel by walk
164,0.5,1,0.6,0.8,0.4,0.8,0.4,1,0.2,1,1,1.0,0.6,0.4,80.0,0.26666666666666666,0.7333333333333333,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.125,0.0625,0.0,0.4375,1,0,0,0,0,1,0,0,1,0,0
166,0.5,1,0.8,0.6,1.0,0.6,0.4,1,0.2,1,1,0.4,0.2,0.6,80.0,0.4,0.6,0.5333333333333333,0.4666666666666667,0.4,0.0625,-0.125,0.0,0.0625,1,0,0,0,0,1,1,0,0,0,0
168,0.4,1,0.6,0.6,0.4,0.8,0.4,-1,0.4,1,1,0.8,0.6,0.2,94.66666666666669,0.3333333333333333,0.4,0.4,0.4666666666666667,0.3333333333333333,0.4375,-0.3125,-0.0625,0.25,1,0,0,0,0,1,0,0,1,0,0
171,0.5,1,0.2,0.4,0.6,0.4,0.4,-1,0.2,-1,1,0.6,0.6,0.6,41.333333333333336,0.7333333333333333,0.6666666666666666,0.4666666666666667,0.4,0.8,0.0,-0.4375,0.0,0.3125,1,0,0,0,0,1,0,0,1,0,0
175,1.0,1,0.0,0.4,0.4,0.4,0.6,1,0.4,1,1,0.8,0.4,0.4,68.0,0.5333333333333333,0.7333333333333333,0.6666666666666666,0.4,0.4666666666666667,0.25,-0.25,0.4375,-0.0625,1,0,0,0,0,1,1,0,0,0,0
176,0.5,1,0.4,0.4,0.4,0.8,0.6,1,0.2,1,1,0.6,0.6,0.4,86.0,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.3125,-0.1875,0.0625,-0.125,1,0,0,0,0,1,0,0,1,0,0
178,0.5,1,0.6,0.8,0.4,0.6,0.4,1,0.2,1,-1,0.8,0.4,0.4,53.33333333333334,0.4,0.4666666666666667,0.8,0.4,0.6,0.375,-0.1875,-0.25,0.125,1,0,0,0,0,1,1,0,0,0,0
179,0.4,1,0.2,0.4,0.2,0.6,0.4,1,0.2,1,1,1.0,0.6,0.4,89.33333333333331,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.4,0.6,0.3125,-0.4375,-0.3125,0.125,1,0,0,0,0,1,1,0,0,0,0
180,0.5,-1,0.2,0.4,0.2,0.8,0.2,1,0.6,1,-1,0.8,0.6,0.2,59.33333333333334,0.7333333333333333,0.3333333333333333,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.0,0.125,-0.0625,0.3125,1,0,0,0,0,1,0,1,0,0,0
181,0.6,-1,0.2,0.4,0.2,0.8,0.4,1,0.2,1,-1,0.6,0.4,0.4,63.33333333333334,0.5333333333333333,0.4666666666666667,0.8,0.4666666666666667,0.6,-0.0625,-0.375,0.0,-0.0625,1,0,0,0,0,1,1,0,0,0,0
183,0.5,-1,0.6,0.6,1.0,0.8,0.2,1,0.2,-1,1,0.8,0.6,0.6,43.33333333333334,0.4,0.8,0.6666666666666666,0.4666666666666667,0.6666666666666666,0.0625,-0.0625,-0.1875,0.3125,1,0,0,0,0,1,0,0,1,0,0
191,0.5,1,0.2,0.4,0.2,0.4,0.4,1,0.2,1,1,0.4,0.6,0.4,13.333333333333336,0.4,0.4666666666666667,0.6666666666666666,0.4666666666666667,0.4,0.4375,-0.5,0.1875,0.25,1,0,0,0,0,1,0,0,1,0,0
193,0.3,1,0.2,0.6,0.4,0.4,0.4,-1,0.2,1,1,0.8,0.2,0.2,59.3333333333,0.2,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.4,0.0,0.125,0.0625,0.5,1,0,0,0,0,1,0,0,1,0,0
194,0.4,1,0.0,0.6,1.0,0.6,0.4,1,0.2,1,-1,0.6,0.6,0.4,40.3333333333,0.3333333333333333,0.5333333333333333,0.6666666666666666,0.4,0.4666666666666667,0.4375,0.5,0.0625,0.5625,1,0,0,0,0,1,0,0,1,0,0
197,0.6,1,0.8,0.8,1.0,0.4,0.4,-1,0.2,1,1,0.6,0.2,0.2,40.6666666667,0.2,0.5333333333333333,0.8,0.4,0.5333333333333333,0.125,-0.3125,-0.0625,0.125,1,0,0,0,0,1,0,0,1,0,0
205,0.4,-1,0.0,0.0,0.2,0.2,0.4,1,0.2,1,-1,0.8,0.6,0.4,23.8333333333,0.4666666666666667,0.4,0.7333333333333333,0.4,0.4,-0.1875,-0.1875,-0.1875,0.0625,1,0,0,0,0,1,0,0,0,0,1
206,0.5,1,0.0,0.6,1.0,0.4,0.4,1,0.2,1,1,0.8,0.2,0.6,51.1666666667,0.4666666666666667,0.7333333333333333,1.0,0.5333333333333333,0.3333333333333333,0.0,0.25,0.4375,-0.25,1,0,0,0,0,1,0,0,1,0,0
208,0.6,1,0.6,0.8,0.2,0.4,0.4,1,0.6,1,1,0.8,0.2,0.2,41.5,0.2,0.6666666666666666,0.9333333333333333,0.5333333333333333,0.5333333333333333,-0.1875,0.0625,-0.0625,0.3125,1,0,0,0,0,1,0,0,1,0,0
209,0.6,1,0.6,0.6,0.4,0.4,0.6,1,0.4,1,1,1.0,0.4,0.4,33.6666666667,0.4666666666666667,0.6666666666666666,0.6,0.5333333333333333,0.4666666666666667,0.0,-0.0625,0.125,0.5,1,0,0,0,0,1,0,0,1,0,0
210,0.4,1,0.6,0.0,0.2,0.8,0.6,1,0.4,1,1,0.2,0.6,0.4,68.1666666667,0.26666666666666666,0.6,0.6666666666666666,0.4,0.3333333333333333,0.1875,0.5625,0.25,-0.3125,1,0,0,0,0,1,1,0,0,0,0
211,0.8,1,0.6,0.6,0.4,0.2,0.4,1,0.2,1,1,1.0,0.2,0.4,76.0,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.4,0.4666666666666667,0.0,0.0,0.0,0.375,1,0,0,0,1,0,0,0,1,0,0
212,0.4,1,0.0,0.0,1.0,0.8,0.4,1,0.2,1,1,0.8,0.2,0.4,24.3333333333,0.3333333333333333,0.6666666666666666,0.8,0.5333333333333333,0.4666666666666667,0.25,0.0625,0.0,0.5625,1,0,0,0,0,1,0,0,1,0,0
214,0.4,1,0.0,0.4,0.2,0.4,0.4,1,0.2,0,-1,0.8,0.2,0.4,65.3333333333,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.2,0.4666666666666667,0.0625,0.25,0.375,0.0,1,0,0,0,0,1,0,0,1,0,0
215,0.5,-1,0.2,0.4,1.0,0.8,0.4,1,0.2,1,1,0.6,0.2,0.4,36.1666666667,0.2,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.4666666666666667,0.1875,-0.3125,-0.125,0.0625,1,0,0,0,0,1,0,0,0,1,0
223,0.5,1,0.8,0.0,1.0,0.8,0.6,1,0.2,1,1,1.0,0.6,0.6,42.8333333333,0.4,0.7333333333333333,0.6666666666666666,0.4,0.4666666666666667,-0.3125,0.125,0.0,-0.0625,1,0,0,0,0,1,0,0,1,0,0
226,0.8,-1,0.2,0.4,1.0,0.4,0.4,-1,0.2,1,1,0.2,0.2,0.4,26.5,0.4,0.8,0.8666666666666667,0.26666666666666666,0.4,-0.25,-0.125,0.1875,0.3125,1,0,0,0,0,1,0,1,0,0,0
227,0.6,1,0.4,0.6,0.4,0.8,0.4,1,0.2,1,1,0.6,0.2,0.6,0.0,0.2,0.6666666666666666,0.5333333333333333,0.4,0.4,0.0,0.0,0.0,0.375,1,0,0,0,1,0,0,0,1,0,0
228,0.4,1,0.0,0.4,0.2,0.8,0.6,1,0.6,1,1,1.0,0.6,0.4,81.8333333333,0.4,0.5333333333333333,0.6666666666666666,0.4,0.5333333333333333,0.0625,-0.125,0.0625,-0.0625,1,0,0,0,0,1,0,0,1,0,0
230,0.4,1,0.4,0.6,0.2,0.8,0.6,1,0.2,1,1,0.8,0.2,0.4,47.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.0625,-0.125,0.0625,-0.0625,1,0,0,0,0,1,0,1,0,0,0
231,0.3,1,0.6,0.6,0.4,0.6,0.6,-1,0.6,1,1,0.2,0.2,0.6,70.0,0.26666666666666666,0.4666666666666667,0.6,0.26666666666666666,0.4,-0.25,-0.0625,-0.4375,0.75,1,0,0,0,0,1,0,1,0,0,0
235,0.5,1,0.8,0.0,1.0,0.8,0.4,1,0.2,1,1,1.0,0.2,0.2,72.6666666667,0.2,0.6,0.7333333333333333,0.26666666666666666,0.4,-0.3125,0.125,0.0,-0.1875,1,0,0,0,0,1,0,0,1,0,0
236,0.6,1,0.2,0.4,1.0,0.4,0.4,1,0.2,1,1,0.6,0.2,0.4,62.5,0.2,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.5,-0.0625,-0.125,-0.0625,1,0,0,0,0,1,0,0,0,1,0
239,0.4,1,0.4,0.6,0.2,0.8,0.6,1,0.2,1,1,0.8,0.2,0.4,50.8333333333,0.4,0.5333333333333333,0.6666666666666666,0.4,0.6,0.125,0.25,-0.1875,0.0,1,0,0,0,0,1,0,0,1,0,0
241,0.6,1,0.0,0.6,1.0,0.8,0.4,-1,0.2,1,1,0.2,0.4,0.4,36.0,0.4666666666666667,0.6,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.5,-0.25,0.1875,0.1875,0,1,0,0,1,0,0,0,1,0,0
242,0.7,1,0.2,0.0,1.0,0.8,0.4,-1,0.2,1,1,0.2,0.6,0.4,38.8333333333,0.4666666666666667,0.6,0.6,0.3333333333333333,0.3333333333333333,0.0,-0.125,0.125,0.1875,0,1,0,0,1,0,0,1,0,0,0
243,0.4,1,0.6,0.6,0.8,0.4,0.4,1,0.4,1,1,0.6,0.6,0.4,58.1666666667,0.3333333333333333,0.7333333333333333,0.6666666666666666,0.4,0.6,-0.125,0.1875,-0.125,0.375,0,1,0,0,1,0,0,0,1,0,0
245,0.4,1,0.6,0.6,1.0,0.6,0.6,1,0.2,1,1,0.6,0.6,0.6,43.3333333333,0.3333333333333333,0.6666666666666666,0.5333333333333333,0.4,0.6,0.375,-0.125,-0.1875,0.1875,0,1,0,0,1,0,0,0,1,0,0
246,0.4,1,0.0,0.6,0.8,0.6,0.4,1,0.2,1,1,0.6,0.8,0.6,67.3333333333,0.3333333333333333,0.4666666666666667,0.6,0.4666666666666667,0.26666666666666666,0.1875,0.0625,0.0,0.1875,0,1,0,0,1,0,0,1,0,0,0
247,0.5,1,0.2,0.2,1.0,0.8,0.4,-1,0.2,1,1,0.2,0.6,0.4,58.0,0.4666666666666667,0.6666666666666666,0.5333333333333333,0.4,0.3333333333333333,0.375,-0.25,0.0,0.3125,0,1,0,0,1,0,1,0,0,0,0
250,1.0,1,0.0,0.8,0.8,0.6,0.6,1,0.2,1,-1,0.8,0.2,0.4,67.3333333333,0.3333333333333333,0.4,0.3333333333333333,0.2,0.3333333333333333,0.0,-0.875,0.5,0.125,0,1,0,0,0,1,1,0,0,0,0
253,0.6,-1,0.6,0.8,0.6,0.4,0.6,1,0.2,1,1,1.0,0.2,0.4,54.5,0.26666666666666666,0.2,0.7333333333333333,0.4666666666666667,0.3333333333333333,-0.375,-0.625,0.25,-0.375,0,1,0,0,0,1,0,1,0,0,0
256,0.4,1,0.2,0.6,0.2,0.6,0.6,1,0.2,1,-1,0.6,0.6,0.4,49.0,0.4,0.5333333333333333,0.5333333333333333,0.4,0.6666666666666666,0.0625,0.125,0.0625,0.3125,0,1,0,0,0,1,1,0,0,0,0
260,0.4,1,0.0,0.4,0.2,0.4,0.4,1,0.2,1,1,1.0,0.2,0.2,46.6666666667,0.3333333333333333,0.2,0.8,0.4666666666666667,0.2,0.125,0.4375,-0.125,0.625,0,1,0,0,0,1,0,0,1,0,0
263,0.4,1,0.2,0.6,0.4,0.4,0.4,-1,0.2,1,-1,0.2,0.2,0.4,67.6666666667,0.5333333333333333,0.4,0.5333333333333333,0.6666666666666666,0.7333333333333333,-0.375,-0.3125,0.125,0.3125,0,1,0,0,0,1,0,0,1,0,0
268,0.5,1,0.2,0.6,0.4,0.4,0.6,1,0.4,1,-1,0.6,0.4,0.4,45.1666666667,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.0625,0.125,0.1875,0.125,0,1,0,0,0,1,1,0,0,0,0
269,0.4,1,0.2,0.8,0.8,0.8,0.6,1,0.2,1,1,0.6,0.2,0.2,63.3333333333,0.3333333333333333,0.26666666666666666,0.6,0.4,0.4666666666666667,0.0,0.25,-0.0625,0.25,0,1,0,0,0,1,0,0,1,0,0
274,0.3,1,0.6,0.8,1.0,0.8,0.4,1,0.2,1,-1,0.8,0.4,0.6,55.5,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.6,-0.4375,0.125,0.0,-0.4375,0,1,0,0,0,1,0,0,1,0,0
275,1.0,1,0.4,0.8,0.2,0.6,0.4,1,0.2,1,1,0.6,0.2,0.2,49.5,0.2,0.7333333333333333,0.7333333333333333,0.4,0.26666666666666666,0.25,-0.1875,-0.125,0.0625,0,1,0,0,0,1,1,0,0,0,0
276,0.5,1,0.6,0.6,1.0,0.4,0.6,-1,0.2,1,-1,0.2,0.2,0.4,67.5,0.4,0.5333333333333333,0.5333333333333333,0.4,0.6,-0.0625,-0.25,0.1875,-0.0625,0,1,0,0,0,1,0,0,1,0,0
277,0.5,1,0.6,0.8,0.6,0.8,0.4,1,0.2,1,-1,0.4,0.6,0.4,59.6666666667,0.5333333333333333,0.5333333333333333,0.8666666666666667,0.6,0.6,-0.4375,-0.375,-0.0625,0.1875,0,1,0,0,0,1,0,0,1,0,0
278,1.0,1,0.0,0.8,0.8,0.6,0.4,1,0.2,1,1,0.8,0.2,0.4,66.1666666667,0.3333333333333333,0.6,0.4666666666666667,0.4,0.4,-0.4375,-0.0625,0.375,0.0625,0,1,0,0,0,1,0,0,1,0,0
283,0.3,1,0.4,0.6,0.2,0.8,0.4,1,0.2,1,-1,0.6,0.2,0.4,26.6666666667,0.2,0.8666666666666667,0.6,0.5333333333333333,0.26666666666666666,0.0,0.0,-0.25,0.125,0,1,0,0,0,1,0,1,0,0,0
285,1.0,1,0.4,0.6,0.2,0.4,0.4,1,0.2,1,1,0.6,0.2,0.2,75.8333333333,0.2,0.5333333333333333,0.6666666666666666,0.2,0.2,0.0625,-0.125,0.0,-0.125,0,1,0,0,0,1,0,0,1,0,0
287,0.4,1,0.6,0.8,0.8,0.8,0.6,-1,0.2,1,1,1.0,0.6,0.2,84.66666666666667,0.3333333333333333,0.9333333333333333,0.6666666666666666,0.2,0.6666666666666666,0.0625,-0.375,-0.3125,0.0,0,1,0,0,1,0,0,0,1,0,0
289,0.4,1,0.8,0.8,0.4,0.4,0.4,-1,0.6,1,1,0.8,0.8,0.4,36.0,0.3333333333333333,0.7333333333333333,0.6666666666666666,0.4666666666666667,0.3333333333333333,-0.125,0.0,0.125,-0.125,0,1,0,0,1,0,0,0,1,0,0
292,0.6,1,0.6,0.6,0.4,0.4,0.6,-1,0.2,1,1,0.4,0.4,0.4,78.0,0.5333333333333333,0.7333333333333333,0.6,0.3333333333333333,0.4666666666666667,0.0625,-0.0625,0.125,0.0625,0,1,0,0,1,0,0,0,1,0,0
293,0.5,1,0.8,0.8,0.6,0.8,0.4,1,0.2,1,1,1.0,0.4,0.2,82.66666666666667,0.26666666666666666,0.9333333333333333,0.6666666666666666,0.6,0.5333333333333333,0.375,0.375,0.1875,0.0,0,1,0,0,1,0,0,0,1,0,0
298,0.6,-1,0.6,0.8,0.4,0.6,0.4,1,0.2,1,1,0.6,0.4,0.4,60.66666666666666,0.26666666666666666,0.6666666666666666,0.4666666666666667,0.3333333333333333,0.6666666666666666,-0.0625,-0.125,0.375,0.0,0,1,0,0,0,1,0,0,1,0,0
299,0.3,1,0.6,0.8,0.6,0.6,0.4,1,0.2,1,1,0.8,0.4,0.4,74.0,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.0625,0.1875,0.0625,0.25,0,1,0,0,0,1,0,0,1,0,0
300,0.4,1,0.6,0.8,0.4,0.8,0.4,1,0.2,1,1,0.6,0.8,0.4,59.33333333333334,0.4,0.6666666666666666,0.6,0.4666666666666667,0.4666666666666667,-0.125,-0.1875,-0.0625,0.0625,0,1,0,0,0,1,0,0,1,0,0
301,1.0,1,0.2,0.6,0.2,0.8,0.4,1,0.2,1,-1,0.6,0.6,0.4,51.33333333333334,0.5333333333333333,0.6,0.6666666666666666,0.4666666666666667,0.5333333333333333,0.0625,-0.125,0.125,0.25,0,1,0,0,0,1,0,1,0,0,0
304,0.7,1,0.0,0.4,0.4,0.8,0.4,1,0.2,1,1,1.0,0.6,0.4,82.66666666666667,0.26666666666666666,0.5333333333333333,0.8,0.3333333333333333,0.4666666666666667,0.125,-0.1875,0.125,0.0625,0,1,0,0,0,1,0,0,1,0,0
305,0.4,1,0.6,0.6,0.4,0.8,0.4,1,0.2,-1,1,0.6,0.6,0.2,38.66666666666666,0.5333333333333333,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.6666666666666666,-0.375,-0.0625,0.0,-0.1875,0,1,0,0,0,1,0,1,0,0,0
306,0.4,1,0.0,0.0,1.0,0.8,0.6,1,0.2,1,1,0.8,0.6,0.4,64.0,0.3333333333333333,0.6,0.7333333333333333,0.4,0.6,0.625,-0.1875,0.0,0.25,0,1,0,0,0,1,0,0,1,0,0
307,0.5,1,0.0,0.6,1.0,0.6,0.6,1,0.2,1,1,0.6,0.2,1.0,44.66666666666666,0.5333333333333333,0.4666666666666667,0.7333333333333333,0.4,0.4666666666666667,0.0625,0.5,-0.125,0.375,0,1,0,0,0,1,0,0,1,0,0
308,0.6,1,0.0,0.6,0.2,0.8,0.6,1,0.2,1,1,0.2,0.8,0.4,26.66666666666667,0.4666666666666667,0.4666666666666667,0.7333333333333333,0.2,0.3333333333333333,0.3125,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0
309,0.7,1,0.0,0.6,1.0,0.4,0.6,1,0.2,1,1,0.8,0.6,0.4,71.33333333333333,0.5333333333333333,0.3333333333333333,0.8,0.5333333333333333,0.4,0.1875,0.5625,0.125,0.375,0,1,0,0,0,1,0,1,0,0,0
312,0.6,1,0.4,0.0,0.2,0.2,0.4,-1,0.2,0,-1,0.8,0.2,0.2,40.66666666666666,0.6,0.4666666666666667,0.7333333333333333,0.2,0.3333333333333333,0.375,-0.1875,-0.5,0.0625,0,1,0,0,0,1,0,0,0,0,1
314,0.5,1,0.6,0.8,0.4,0.6,0.6,1,0.4,1,1,0.4,0.2,0.6,41.333333333333336,0.2,0.4666666666666667,0.8666666666666667,0.26666666666666666,0.4666666666666667,-0.1875,0.0625,0.1875,0.0,0,1,0,0,0,1,0,0,1,0,0
316,0.7,1,0.0,0.6,1.0,0.8,0.6,1,0.2,1,1,0.6,1.0,0.2,37.333333333333336,0.4,0.6,0.7333333333333333,0.4,0.5333333333333333,0.0625,-0.3125,0.125,0.0,0,1,0,0,0,1,1,0,0,0,0
318,0.7,1,0.0,0.0,0.2,0.8,0.4,1,0.2,1,1,0.6,0.6,0.4,29.33333333333333,0.5333333333333333,0.5333333333333333,0.8666666666666667,0.5333333333333333,0.4666666666666667,0.1875,0.0625,0.125,0.1875,0,1,0,0,0,1,0,1,0,0,0
319,0.8,1,0.2,0.2,0.2,0.4,0.4,1,0.2,0,1,0.8,0.6,0.4,54.0,0.4666666666666667,0.6,0.7333333333333333,0.3333333333333333,0.4666666666666667,0.125,0.1875,0.0,-0.125,0,1,0,0,0,1,0,0,1,0,0
320,0.4,1,0.8,0.8,1.0,0.6,0.4,1,0.2,1,1,1.0,0.4,0.4,50.0,0.6666666666666666,0.8,0.6666666666666666,0.26666666666666666,0.5333333333333333,-0.1875,0.375,-0.125,0.5,0,1,0,0,0,1,0,1,0,0,0
322,0.7,1,0.6,0.6,1.0,0.8,0.6,1,0.2,1,1,0.8,0.2,0.6,48.66666666666666,0.26666666666666666,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.5333333333333333,-0.25,-0.0625,-0.25,-0.0625,0,1,0,0,0,1,1,0,0,0,0
325,1.0,1,0.2,0.0,0.4,0.6,0.6,1,0.2,1,1,1.0,0.4,0.4,67.33333333333333,0.6,0.6666666666666666,0.7333333333333333,0.6,0.6,0.0,-0.1875,-0.0625,0.375,0,1,0,0,0,1,0,0,1,0,0
326,0.4,1,0.6,0.8,0.4,0.8,0.4,1,1.0,1,1,0.8,0.6,0.2,66.0,0.2,0.7333333333333333,0.7333333333333333,0.4666666666666667,0.4,0.1875,0.3125,-0.5625,0.0625,0,1,0,0,0,1,0,0,1,0,0
327,0.5,1,0.8,0.8,0.8,0.8,0.4,1,0.2,1,1,0.8,0.4,0.2,52.66666666666666,0.2,0.8,0.8666666666666667,0.3333333333333333,0.4,0.0,-0.0625,0.0,0.3125,0,1,0,0,1,0,0,1,0,0,0
329,1.0,-1,0.2,0.6,1.0,0.8,0.4,1,0.2,1,1,0.8,0.4,0.4,70.0,0.4666666666666667,0.5333333333333333,0.7333333333333333,0.4,0.4,-0.125,0.0625,-0.0625,0.5,0,1,0,0,1,0,0,1,0,0,0
331,1.0,1,0.4,0.6,1.0,0.6,0.4,1,0.2,1,1,0.8,0.4,0.4,74.0,0.3333333333333333,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.5,-0.1875,-0.0625,-0.1875,0,1,0,0,1,0,0,0,1,0,0
335,0.4,1,0.6,0.6,0.4,0.8,0.6,-1,0.2,1,1,0.2,0.2,0.4,68.0,0.2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.1875,0.0,-0.25,-0.375,0,1,0,0,1,0,0,0,1,0,0
337,0.5,1,0.4,0.6,1.0,0.8,0.6,-1,0.2,1,1,0.2,0.4,0.2,80.0,0.4,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,0.375,0,1,0,0,1,0,0,0,1,0,0
338,0.5,1,0.6,0.8,0.4,0.8,0.6,1,0.2,1,1,0.8,0.4,0.6,62.66666666666666,0.3333333333333333,0.4,0.6,0.4,0.4666666666666667,0.25,-0.0625,-0.3125,-0.125,0,1,0,0,1,0,1,0,0,0,0
340,0.3,1,0.8,0.2,0.2,0.6,0.4,1,0.2,1,1,0.8,0.2,0.4,75.33333333333333,0.5333333333333333,0.3333333333333333,0.4,0.6666666666666666,0.5333333333333333,0.1875,-0.0625,-0.25,-0.0625,0,1,0,0,0,1,0,0,1,0,0
341,0.3,1,0.2,0.6,0.2,0.8,0.6,1,0.2,1,-1,0.6,0.6,0.6,56.66666666666666,0.4,0.6,0.4,0.5333333333333333,0.5333333333333333,-0.3125,0.0625,0.375,-0.125,0,1,0,0,0,1,0,1,0,0,0
342,0.6,1,0.0,0.8,0.8,0.6,0.4,1,0.4,1,1,0.8,0.4,0.6,67.33333333333333,0.26666666666666666,0.6666666666666666,0.4,0.5333333333333333,0.4666666666666667,-0.3125,-0.375,0.25,0.3125,0,1,0,0,0,1,0,0,1,0,0
344,0.4,1,0.6,0.6,0.6,0.8,0.4,-1,0.2,1,1,0.4,0.4,0.6,76.0,0.2,0.6666666666666666,0.8,0.4,0.6,0.0,0.0,0.625,0.3125,0,1,0,0,0,1,1,0,0,0,0
347,0.3,1,0.4,0.0,0.2,0.8,0.4,1,0.2,1,1,0.8,0.2,0.2,83.33333333333333,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.4666666666666667,-0.375,-0.3125,0.125,0.0,0,1,0,0,0,1,0,1,0,0,0
350,0.5,1,0.4,0.8,0.2,0.6,0.4,-1,0.2,1,1,0.6,0.2,0.2,50.66666666666666,0.4,0.2,0.6666666666666666,0.6,0.3333333333333333,-0.375,-0.3125,-0.3125,-0.0625,0,1,0,0,0,1,0,1,0,0,0
351,0.4,1,0.6,0.6,0.2,0.8,0.4,1,0.2,-1,1,0.6,0.4,0.4,48.66666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.0625,-0.1875,-0.0625,0.25,0,1,0,0,0,1,0,1,0,0,0
354,0.3,1,0.4,0.8,0.2,0.4,0.4,-1,0.2,1,1,0.4,0.2,0.2,50.0,0.2,0.7333333333333333,0.8666666666666667,0.5333333333333333,0.26666666666666666,0.0625,-0.125,-0.25,0.375,0,1,0,0,0,1,0,1,0,0,0
355,0.6,1,0.8,0.8,0.8,0.6,0.6,-1,0.4,1,1,0.8,0.2,0.4,75.33333333333333,0.5333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.4,0.125,-0.25,-0.0625,0.125,0,1,0,0,0,1,0,0,1,0,0
356,0.5,1,0.0,0.4,0.4,0.6,0.6,1,0.6,1,1,0.6,0.2,0.2,60.0,0.2,0.5333333333333333,0.8,0.6,0.4666666666666667,-0.0625,-0.125,-0.1875,0.125,0,1,0,0,0,1,0,0,0,1,0
357,1.0,1,0.6,0.6,0.2,0.6,0.6,1,0.2,1,1,0.6,0.8,0.4,73.33333333333333,0.2,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.125,0.125,-0.125,0.1875,0,1,0,0,0,1,0,0,1,0,0
359,0.5,1,0.0,0.8,0.8,0.6,0.6,1,0.4,1,1,0.6,0.8,0.8,81.33333333333333,0.26666666666666666,0.8,0.5333333333333333,0.8666666666666667,0.26666666666666666,0.125,0.25,0.3125,0.0625,0,1,0,0,0,1,0,1,0,0,0
360,0.4,1,0.2,0.6,0.4,0.8,0.4,1,0.2,1,1,0.8,0.4,0.4,44.66666666666666,0.4666666666666667,0.6,0.7333333333333333,0.4666666666666667,0.6666666666666666,-0.1875,0.25,0.375,0.1875,0,1,0,0,0,1,0,0,1,0,0
361,0.4,1,0.6,0.8,0.6,0.4,0.6,1,0.4,1,1,0.6,0.6,0.2,40.66666666666666,0.2,0.4666666666666667,0.4,0.7333333333333333,0.4666666666666667,0.125,-0.3125,0.0625,0.375,0,1,0,0,0,1,0,0,0,1,0
374,0.4,1,0.8,0.6,1.0,0.8,0.4,1,0.4,1,1,0.6,0.6,0.4,80.66666666666667,0.5333333333333333,0.6,0.7333333333333333,0.6,0.5333333333333333,0.3125,-0.4375,0.4375,0.125,0,1,0,0,1,0,0,0,1,0,0
377,0.3,1,0.4,0.0,0.2,0.4,0.6,1,0.2,1,1,0.4,0.8,0.4,68.0,0.3333333333333333,0.4,0.7333333333333333,0.4666666666666667,0.4666666666666667,0.125,-0.0625,0.125,-0.0625,0,1,0,0,1,0,1,0,0,0,0
378,0.5,1,0.0,0.6,0.2,0.4,0.4,1,0.2,1,1,0.6,0.6,0.2,60.66666666666666,0.3333333333333333,0.7333333333333333,0.8,0.4,0.5333333333333333,0.3125,-0.375,-0.0625,0.0,0,1,0,0,1,0,0,0,1,0,0
379,1.0,1,0.2,0.6,1.0,0.8,0.6,1,0.2,1,1,1.0,0.2,0.8,42.0,0.2,0.8,0.7333333333333333,0.4,0.6666666666666666,-0.25,-0.375,-0.0625,0.25,0,1,0,0,1,0,0,1,0,0,0
380,0.5,1,0.6,0.8,1.0,0.6,0.4,1,0.6,1,1,0.4,0.8,0.4,38.0,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.0,0.0,-0.125,0.375,0,1,0,0,1,0,0,0,1,0,0
383,0.4,-1,0.6,0.8,0.6,1.0,0.2,1,0.2,1,1,0.8,0.4,0.4,51.33333333333334,0.2,0.6,0.7333333333333333,0.26666666666666666,0.5333333333333333,0.1875,-0.6875,-0.0625,0.375,0,1,0,0,0,1,0,1,0,0,0
